,income_median,income_mean
2013-1,4117.2,5006.1
2013-2,3606.2,4043
2013-3,3976.8,4507.4
2013-4,3931.9,4754.3
2014-1,4693.6,5562.2
2014-2,4086.3,4462.8
2014-3,4340.2,4960.6
2014-4,4449.7,5181.5
2015-1,5216.3,6086.9
2015-2,4483.7,4843.8
2015-3,4760,5436.4
2015-4,4821.1,5599.1
2016-1,5670,6619.3
2016-2,4835,5266.7
2016-3,5120.7,5849.4
2016-4,5257.3,6085.6
2017-1,6067,7184
2017-2,5170.8,5747.9
